0,1,2
2,3,0
3,2,4
4,5,3
5,4,6
6,7,5
7,6,8
8,9,7
9,8,10
10,11,9
1,12,13
13,2,1
2,13,14
14,4,2
4,14,15
15,6,4
6,15,16
16,8,6
8,16,17
17,10,8
12,18,19
19,13,12
13,19,20
20,14,13
14,20,21
21,15,14
15,21,22
22,16,15
16,22,23
23,17,16
18,24,25
25,19,18
19,25,26
26,20,19
20,26,27
27,21,20
21,27,28
28,22,21
22,28,29
29,23,22
24,30,31
31,25,24
25,31,32
32,26,25
26,32,33
33,27,26
27,33,34
34,28,27
28,34,35
35,29,28
36,37,38
38,39,36
37,40,41
41,38,37
40,42,43
43,41,40
42,44,45
45,43,42
44,46,47
47,45,44
39,38,48
48,49,39
38,41,50
50,48,38
41,43,51
51,50,41
43,45,52
52,51,43
45,47,53
53,52,45
49,48,54
54,55,49
48,50,56
56,54,48
50,51,57
57,56,50
51,52,58
58,57,51
52,53,59
59,58,52
55,54,60
60,61,55
54,56,62
62,60,54
56,57,63
63,62,56
57,58,64
64,63,57
58,59,65
65,64,58
61,60,66
66,67,61
60,62,68
68,66,60
62,63,69
69,68,62
63,64,70
70,69,63
64,65,71
71,70,64
0,3,72
72,73,0
3,5,74
74,72,3
5,7,75
75,74,5
7,9,76
76,75,7
9,11,77
77,76,9
73,72,78
78,79,73
72,74,80
80,78,72
74,75,81
81,80,74
75,76,82
82,81,75
76,77,83
83,82,76
79,78,84
84,85,79
78,80,86
86,84,78
80,81,87
87,86,80
81,82,88
88,87,81
82,83,89
89,88,82
85,84,90
90,91,85
84,86,92
92,90,84
86,87,93
93,92,86
87,88,94
94,93,87
88,89,95
95,94,88
91,90,37
37,36,91
90,92,40
40,37,90
92,93,42
42,40,92
93,94,44
44,42,93
94,95,46
46,44,94
11,10,96
96,77,11
10,17,97
97,96,10
17,23,98
98,97,17
23,29,99
99,98,23
29,35,100
100,99,29
77,96,101
101,83,77
96,97,102
102,101,96
97,98,103
103,102,97
98,99,104
104,103,98
99,100,105
105,104,99
83,101,106
106,89,83
101,102,107
107,106,101
102,103,108
108,107,102
103,104,109
109,108,103
104,105,110
110,109,104
89,106,111
111,95,89
106,107,112
112,111,106
107,108,113
113,112,107
108,109,114
114,113,108
109,110,115
115,114,109
95,111,47
47,46,95
111,112,53
53,47,111
112,113,59
59,53,112
113,114,65
65,59,113
114,115,71
71,65,114
35,34,116
116,100,35
34,33,117
117,116,34
33,32,118
118,117,33
32,31,119
119,118,32
31,30,120
120,119,31
100,116,121
121,105,100
116,117,122
122,121,116
117,118,123
123,122,117
118,119,124
124,123,118
119,120,125
125,124,119
105,121,126
126,110,105
121,122,127
127,126,121
122,123,128
128,127,122
123,124,129
129,128,123
124,125,130
130,129,124
110,126,131
131,115,110
126,127,132
132,131,126
127,128,133
133,132,127
128,129,134
134,133,128
129,130,135
135,134,129
115,131,70
70,71,115
131,132,69
69,70,131
132,133,68
68,69,132
133,134,66
66,68,133
134,135,67
67,66,134
30,24,136
136,120,30
24,18,137
137,136,24
18,12,138
138,137,18
12,1,139
139,138,12
1,0,73
73,139,1
120,136,140
140,125,120
136,137,141
141,140,136
137,138,142
142,141,137
138,139,143
143,142,138
139,73,79
79,143,139
125,140,144
144,130,125
140,141,145
145,144,140
141,142,146
146,145,141
142,143,147
147,146,142
143,79,85
85,147,143
130,144,148
148,135,130
144,145,149
149,148,144
145,146,150
150,149,145
146,147,151
151,150,146
147,85,91
91,151,147
135,148,61
61,67,135
148,149,55
55,61,148
149,150,49
49,55,149
150,151,39
39,49,150
151,91,36
36,39,151
